"id" "log2FoldChange"
"148" "YHR097C" -1.46405671564854
"149" "YDR353W" 0.259822517412831
"150" "YPL047W" -3.06248699563609
"151" "YPL014W" -1.21291861926321
"152" "YGR007W" 0.805809754504182
"153" "YML116W" -0.831286354375764
"154" "YOL137W" -1.57250350110286
"155" "YGL155W" -0.409873829107487
"156" "YKL214C" -0.39170562196726
"157" "YER061C" -0.431734472570884
"158" "YPL119C" -0.579449132139023
"159" "YDL125C" -1.01768725596019
"160" "YHR186C" 0.886622237840042
"161" "YKL011C" -1.93429915298804
"162" "YLL019C" 1.24253457796988
"163" "YNL257C" 0.562133350990305
"164" "YJR092W" -0.244750864743632
"165" "YPL189C-A" -1.99524542559617
"166" "YBR291C" -0.214282742408762
"167" "YBL059W" -2.82770780181906
"168" "YLR078C" -0.871757408412888
"169" "YFL012W" 0.319296328598023
"170" "YDR262W" -3.93784456101466
"171" "YDR072C" 0.285935752539195
"172" "YDR179C" -1.81982151854637
"173" "YGR220C" -1.12029073455488
"174" "YIL053W" 1.46222264534332
"175" "YMR161W" -0.190474416436027
"176" "YGL162W" -1.38165115509069
"177" "YNL243W" -0.230230304930097
"178" "YBR234C" 1.51531816615012
"179" "YNL047C" -0.672642108693692
"180" "YKL038W" -1.1898831056431
"181" "YFL053W" 3.94924970014276
"182" "YKR060W" -0.0372027201924851
"183" "YPR200C" -0.144136142175872
"184" "YLR411W" 0.354098608383848
"185" "YHR150W" 0.368900691949404
"186" "YLR318W" -0.279095173031679
"187" "YGL219C" -0.0577078840967776
"188" "YBR045C" -0.627895527523104
"189" "YMR039C" 0.600462302689317
"190" "YKL195W" -1.34498676271949
"191" "YPR127W" -2.19523955114586
"192" "YPL188W" -1.71889048537874
"193" "YDR217C" -1.91220809461627
"194" "YML015C" -0.0177023308821113
"195" "YJR126C" 0.125330955853478
"196" "YHR073W" -0.376708613317711
"197" "YPR026W" -0.238440515608696
"198" "YMR274C" -0.537145655447846
"199" "YMR008C" 1.64694425652458
