"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
36.2567557940775,-4.97087893643636,1.13463761543153,-4.38102780026891,1.18120797561993e-05,7.19873265141857e-05
32.6239181679813,-4.84408213874701,1.1397719877581,-4.2500449131718,2.13727655682974e-05,0.000124250675715375
30.4641565577912,-4.74883467088437,1.14711905011244,-4.13979235234467,3.47620333258512e-05,0.000194380689442698
29.1444074485477,-4.70564914968829,1.14629522116966,-4.10509357692925,4.04151246982343e-05,0.000222098922353823
28.7978258011273,-4.69402952738378,1.14607179259031,-4.09575522033791,4.20794362288288e-05,0.000230777413655377
59.6574759476916,-4.67169387854212,0.950835031184948,-4.91325385090216,8.95771744657945e-07,6.34290593084164e-06
27.2687676059926,-4.62802320237494,1.14899857986524,-4.02787547650211,5.62831379873311e-05,0.000300176735932432
26.590317213014,-4.5913870472547,1.15227125980168,-3.98464077637843,6.75822828169928e-05,0.000351791076774826
25.8700882143527,-4.55384657620099,1.15513336828195,-3.94226909311261,8.07143444515189e-05,0.000412624509241318
24.6380139171275,-4.50576249077255,1.15440493841754,-3.90310396363086,9.49668857115935e-05,0.000478717832806397
23.8002682452459,-4.46371541298325,1.15639072511799,-3.86004082878457,0.000113368081348775,0.000561047877039924
23.3940028754216,-4.4375284185547,1.15916785614182,-3.8282017526992,0.000129082927102568,0.000626248476390276
22.4883382798305,-4.39253579365326,1.16040537120407,-3.78534596844845,0.000153494884654377,0.000730312503829245
22.1605871349251,-4.37177548082758,1.16220371090006,-3.76162581467056,0.000168812468543563,0.000795515924743951
21.8130801017109,-4.35897059848135,1.16113122321857,-3.75407233163416,0.000173984621722755,0.000817049859934394
21.8328359900197,-4.34975408526152,1.16434549925183,-3.73579327446752,0.000187124350600554,0.000871212427173739
21.579897526858,-4.34435381164702,1.16221944467163,-3.73798066412015,0.00018550420942031,0.000864411367608041
21.8626778512217,-4.34419364177044,1.16658714602314,-3.72384836964789,0.000196208797455276,0.000907333652924103
21.4545617098097,-4.33142074377706,1.16458294531445,-3.7192891766138,0.000199784220955575,0.00092302352168913
21.1896865021672,-4.29908190487644,1.17095872461222,-3.67142053303386,0.000241206078781305,0.00108213546014044
69.8044296139717,-4.29906400567773,0.817079912200885,-5.26149761055535,1.42886746546787e-07,1.10558874931494e-06
19.7111514423371,-4.23227441892952,1.1683015074463,-3.62258748444184,0.000291670768098508,0.00127698995340053
19.5697612801552,-4.22816527822444,1.16723624352152,-3.62237319282357,0.00029191257025031,0.00127698995340053
19.5050345713047,-4.22460774276397,1.16729658161138,-3.61913828012088,0.000295585666963374,0.00128879152540944
18.8555006537343,-4.18021582361224,1.17040130923005,-3.57160897774644,0.000354794859454169,0.00151886923258044
18.9523360528519,-4.17429265234441,1.17426325509695,-3.55481842272222,0.000378240203036925,0.0016065582312234
19.3912194412597,-4.17321287031597,1.18206731928493,-3.53043587470167,0.000414875570115435,0.00173633108974238
19.0446377938393,-4.16948627128971,1.17729402760585,-3.54158449250678,0.000397731454252124,0.001677523645306
39.8416995333766,-4.16572104921167,0.981376913235444,-4.24477180279078,2.1881598870162e-05,0.00012693667622648
158.948786516738,-4.16425667189118,0.572385282849034,-7.2752685938459,3.45731865454544e-13,3.97298652166408e-12
18.4620974141845,-4.15824470121123,1.17052205857637,-3.55247017409364,0.000381632280260849,0.00161716678760535
18.6943546032436,-4.15438681793163,1.17619874701297,-3.53204492734069,0.0004123592907667,0.00172980417101205
19.0560652100037,-4.1460317535121,1.18534314021751,-3.49774813118782,0.000469204017932456,0.0019207264854835
61.7075159614223,-4.14471779794482,0.83601514624053,-4.95770658771335,7.13301782004605e-07,5.11844392826881e-06
38.7657283001956,-4.1366596970675,0.978785965074233,-4.22631693207184,2.37547359152789e-05,0.000136489075852196
18.1035790222833,-4.12890918094045,1.17365106488518,-3.51800403414143,0.000434805752607897,0.00180719264532202
17.8823331919113,-4.11917925344825,1.17258022077756,-3.5129189290919,0.000443212689099226,0.00183510353104901
17.764816518691,-4.1117261773049,1.17282224878704,-3.5058391683457,0.000455170169040344,0.00187602051434257
17.7409430297294,-4.10903263671026,1.1732912573459,-3.50214203931367,0.000461533499228336,0.00189758957328793
17.8364369855757,-4.10831953720464,1.17529572163471,-3.49556240321408,0.000473063820655243,0.00193215223135093
17.8492991158504,-4.08991038374217,1.18164486968241,-3.46120098235724,0.000537771165444605,0.00216545716508652
17.3544335482139,-4.08312180820819,1.17436866703246,-3.47686541955,0.000507312392677201,0.00205654889228784
38.1253253987567,-4.0728764348072,0.977924862237708,-4.16481530645162,3.116047134503e-05,0.000175144452409785
34.1556056116236,-3.97132099841992,0.98693027742959,-4.02391241736247,5.72392110719866e-05,0.000304414846690253
33.6387173266131,-3.9502700976425,0.988785123249216,-3.99507436424776,6.46739497607962e-05,0.000338601837357682
33.5528932861825,-3.94656145860631,0.989043935530785,-3.99027921493531,6.5995557678929e-05,0.000344838749640435
34.6329525490485,-3.94324029128298,0.984232612260715,-4.00641092579287,6.16483587084309e-05,0.000325589773743456
131.431286761139,-3.94253650885732,0.565152405776043,-6.97605896845399,3.03575348893312e-12,3.34673311462871e-11
34.7366817062003,-3.94182037440998,0.986297510569215,-3.99658351782219,6.42632160456344e-05,0.000336776506117411
34.5282980061029,-3.93784456101466,0.984923437648425,-3.99812250423905,6.38469064661283e-05,0.000335242614397173
33.2760813340592,-3.93713027709186,0.988774692776605,-3.98182751424988,6.83874031025965e-05,0.000354960071223429
71.827310653043,-3.93515596582805,0.732999344082486,-5.36856683105739,7.93647819107052e-08,6.2751396076336e-07
